work_type,dropdown_title,date,description,first_image_name
General Repairs & Small Jobs,Coving,Aug-25,Installed and redecorated a piece of fallen coving.,grm_coving(1).webp
General Repairs & Small Jobs,Day Bed,Sep-25,"I'd love to claim that I designed it, but I just put it together!",grm_daybed(1).webp
General Repairs & Small Jobs,Bathroom Windows Frosting,Mar-25,Fitted stained glass frosting to upper bathroom windows.,grm_window_frosting(1).webp
General Repairs & Small Jobs,Ottoman Bed,Nov-24,"Disassembled , transported, and reassembled in a tight space.",grm_ottoman(1).webp
General Repairs & Small Jobs,Flat Pack Wardrobe Reconstruction,Nov-24,Rebuilt a flat pack wardrobe in a tight space after a house move.,grm_wardrobe_flatpack(1).webp
General Repairs & Small Jobs,Very Heavy Mirror,Nov-24,"Hanging a mirror where anything other than perfect symmetry was required. As Austin Powers once said, ""I needed a LASER""",grm_mirror_hanging(1).webp
General Repairs & Small Jobs,Barbeque,Dec-23,Assembled a 4-burner gas barbecue.,grm_bbq.webp
General Repairs & Small Jobs,Surfboard Ding Repair,May-23,Removed damage resin. Replaced with fresh resin to seal the board. Sanded to shape. Repainted.,grm_surfboard(1).webp
General Repairs & Small Jobs,Vinyl Flooring,Jan-23,Removed old carpet and grippers. Cut and installed new vinyl. Installed oak door threshold.,grm_toilet_flooring(1).webp
General Repairs & Small Jobs,Letterbox,Mar-22,Removed the old corroded letterbox and installed both a new external and an internal letterbox.,grm_letterbox(1).webp
General Repairs & Small Jobs,Back Door Lock,Feb-22,Removed a broken low-security back door lock and installed a new British Standard back door lock.,grm_backdoor_lock(1).webp
General Repairs & Small Jobs,Roller Blinds,Aug-21,Installed blackout roller blinds.,grm_blinds(1).webp
General Repairs & Small Jobs,Flat Pack Wardrobe,Mar-21,Assembled a single mirror wardrobe.,grm_wardrobe.webp
General Repairs & Small Jobs,Footstool Reupholstery,Jul-14,Replaced tired foam and worn through material with custom cut high density foam and new covering.,grm_reupholstery(1).webp
General Repairs & Small Jobs,Damp Seal and Wall Painting,Oct-24,Damp sealed and repainted the walls up to a loft room after a roofing leak.,pd_staircase_walls.webp
General Repairs & Small Jobs,Bathroom Partial Redecoration,Aug-23,"Water damage from penetrating damp caused damage to the paintwork. Filled, damp sealed and repainted.",pd_bathroom_paint(1).webp
General Repairs & Small Jobs,Cubicle Toilet Redecoration,Mar-23,"Full redecoration including staining door, wall paper stripping, filling, sanding, and painting.",pd_toilet_redecoration(1).webp
General Repairs & Small Jobs,Exterior Window Sills,Jul-19,"Sanded down, filled cracks and repainted.",pd_windowsills.webp
General Repairs & Small Jobs,Cat Flap,Mar-15,Installed a micro chip activated cat flap in a garden door.,grm_catflap.webp
General Repairs & Small Jobs,IKEA Kallax Shelving Unit,Jul-15,Assembled shelving unit.,grm_ikea_shelving.webp
General Repairs & Small Jobs,Baby Cot Refurbishment,Apr-14,Refurbished and reassembled baby cot.,grm_cot.webp
General Repairs & Small Jobs,Toddler Cot Assembly,Oct-16,Assembled a toddler cot.,grm_toddler_cot(1).webp
General Repairs & Small Jobs,Dining Chairs,Jan-18,Removed old upholstery. Sourced custom cut high density foam. Reupholstered seats.,grm_reupholstery_dining_chairs(1).webp
General Repairs & Small Jobs,Midsleeper Bed,Nov-20,Assembled a midsleeper bed.,grm_midsleeper.webp
General Repairs & Small Jobs,Electric Sander,Oct-24,Repaired an electric sander that was faulty.,e_sander_rewire.webp
General Repairs & Small Jobs,Doors,Nov-23,Unjamming Doors using an Electric Plane to shave off to a smooth finish.,grm_door_planing.webp
General Repairs & Small Jobs,Wine Rack,Aug-14,Assembled wine rack and installed on wall.,grm_wine_rack(1).webp
General Repairs & Small Jobs,Bathroom,Sep-23,Full redecoration of a small bathroom.,pd_bathroom_redec(1).webp
General Repairs & Small Jobs,Ceiling,Apr-14,Repaired cracks and repainted ceiling ,pd_ceiling_repaint.webp
General Repairs & Small Jobs,Bedroom,Aug-22,"Sanded down, sealed and repainted bedroom wall after roof leak",pd_partial_bedroom_redec(1).webp
General Repairs & Small Jobs,Radiator Cover,May-19,Repainted radiator cover.,pd_radiator_cover.webp
General Repairs & Small Jobs,Sideboard,Jun-19,Full refurbishment of an old sideboard,pd_sideboard_restoration(1).webp
Plumbing (Minor Works),Dual Flush,Sep-25,Installed a new dual flush system and reconnected all pipes ensuring no leaks.,p_dual_flush(1).webp
Plumbing (Minor Works),Washing Machine,Jul-25,Plumbed in new waste piping (internal and external) and made a simple platform to repair the damaged floor.,p_washing_machine_waste(1).webp
Plumbing (Minor Works),Toilet,Jul-23,Installation of a new toilet and all associated plumbing work.,p_toilet_installation(1).webp
Plumbing (Minor Works),Bathroom Sink,Mar-23,"Replaced old taps and rigid piping with modern mixer tap, soap dispenser and flexible pipes with safety stopvalves.",p_bathroom_sink(1).webp
Plumbing (Minor Works),Bathroom Tap,Jun-18,Removed and replaced leaky tap and associated plumbing ,p_bathroom_tap(1).webp
Plumbing (Minor Works),Dual Flush ,May-18,Installed a new dual flush system and reconnected all pipes ensuring no leaks.,"p_dual_flush(0.4).webp, p_dual_flush(0.8).webp, p_installing_dual flush(1).webp"
Electrical (Minor Works),Ceiling Light,Mar-25,Removed a pendant light and replaced with a spotlight set,e_landing_ceiling_light.webp
Electrical (Minor Works),Electrical Socket,May-24,Removed a smashed electrical socket and safely replaced it with a new one.,e_socket_installation.webp
Electrical (Minor Works),Shed Lighting,Mar-24,"Installed 6 Halogen Downlights in a shed, replacing an inadequate pendant light",e_shed_downlights(1).webp
Electrical (Minor Works),Smart Underfloor Heating Thermostat,Dec-23,Removed a malfunctioning under floor heating thermostat and installed a modern smart one.,"e_smart_underfloor(1).webp, e_smart_underfloor(2).webp"
Electrical (Minor Works),Lounge Ceiling Lights,Nov-23,Wired in energy-efficient LED bulbs and replaced wall switches with LED-compatible dimmers.,"e_lounge_ceiling_lights(1).webp, e_lounge_ceiling_lights(2).webp, e_lounge_ceiling_lights(3).webp"
